data,valores,pedidos,temp_max,temp_min,temp_media,umid_max,umid_min,umid_mediana,rad_min,rad_max,rad_mediana,vento_raj_max,vento_vel_media,precipitacao_total,dia_semana_num,dia_semana_binario,day_of_year,mes,trimestre,Chuva_aberta,dia_mes,feriado,vespera_feriado,semana_ano
2022-01-01,,,37.2,19.7,28.13,88.0,29.0,57.0,11.9,3753.0,2199.5,9.9,1.9,0.0,5.0,1.0,1,1,1,0.0,1.0,1,0,52
2022-01-02,2371.1,75.0,37.1,19.6,25.78,95.0,37.0,74.0,8.7,3066.1,911.5,16.2,1.64,10.0,6.0,1.0,2,1,1,10.0,2.0,0,0,52
2022-01-03,2348.44,77.0,34.1,22.1,27.2,95.0,40.0,72.0,3.8,3494.6,1532.8,8.4,1.97,0.0,0.0,0.0,3,1,1,0.0,3.0,0,0,1
2022-01-04,1331.97,40.0,29.0,21.2,24.71,99.0,59.0,87.5,4.6,2061.2,479.8,8.4,1.82,14.2,1.0,0.0,4,1,1,3.6,4.0,0,0,1
2022-01-05,1952.77,61.0,27.0,21.0,23.51,99.0,61.0,96.0,1.9,2958.7,490.0,9.3,2.03,0.4,2.0,0.0,5,1,1,0.2,5.0,0,0,1
2022-01-06,2341.26,75.0,28.0,14.8,22.0,97.0,42.0,65.0,6.2,3516.0,2312.9,10.5,2.91,0.0,3.0,0.0,6,1,1,0.0,6.0,0,0,1
2022-01-07,1784.37,55.0,28.6,15.5,21.78,96.0,41.0,70.5,7.4,3844.0,2327.9,11.3,3.03,0.0,4.0,0.0,7,1,1,0.0,7.0,0,0,1
2022-01-08,2367.14,77.0,29.8,16.3,22.83,95.0,45.0,66.0,6.6,3752.2,2271.1,11.3,3.42,0.0,5.0,1.0,8,1,1,0.0,8.0,0,0,1
2022-01-09,3292.17,101.0,30.1,17.3,23.68,87.0,37.0,64.0,5.4,3844.6,2338.7,11.0,3.24,0.0,6.0,1.0,9,1,1,0.0,9.0,0,0,1
2022-01-10,2610.93,88.0,32.9,16.7,24.91,98.0,32.0,65.0,5.7,3896.6,2294.7,8.6,2.06,0.0,0.0,0.0,10,1,1,0.0,10.0,0,0,2
2022-01-11,2329.74,81.0,35.0,19.2,26.2,98.0,25.0,67.0,2.9,3854.4,2314.1,6.6,1.72,0.0,1.0,0.0,11,1,1,0.0,11.0,0,0,2
2022-01-12,2856.43,95.0,36.8,16.7,26.94,98.0,15.0,70.0,5.1,3813.1,2316.4,5.6,1.48,0.0,2.0,0.0,12,1,1,0.0,12.0,0,0,2
2022-01-13,2676.45,88.0,37.7,17.9,27.88,89.0,21.0,55.5,2.9,3751.0,2250.1,7.2,2.15,0.0,3.0,0.0,13,1,1,0.0,13.0,0,0,2
2022-01-14,2671.23,91.0,38.9,19.3,27.87,97.0,29.0,74.0,2.8,3252.8,1752.25,11.7,1.87,5.4,4.0,0.0,14,1,1,5.4,14.0,0,0,2
2022-01-15,3962.46,125.0,36.3,25.4,30.58,89.0,42.0,61.0,3.0,2964.7,1351.9,8.8,1.62,1.8,5.0,1.0,15,1,1,1.8,15.0,0,0,2
2022-01-16,4862.72,155.0,40.2,28.2,33.42,65.0,28.0,52.5,5.1,3786.1,1968.2,14.5,3.7,0.0,6.0,1.0,16,1,1,0.0,16.0,0,0,2
2022-01-17,1713.77,55.0,35.8,23.4,29.62,98.0,43.0,60.0,7.5,2844.9,1365.8,12.3,2.78,7.2,0.0,0.0,17,1,1,7.2,17.0,0,0,3
2022-01-18,4066.86,135.0,33.9,22.6,27.99,99.0,48.0,73.0,2.2,3440.3,2080.4,9.3,2.64,4.6,1.0,0.0,18,1,1,0.0,18.0,0,0,3
2022-01-19,2778.18,91.0,37.0,23.1,29.66,98.0,38.0,62.5,0.1,3381.0,1978.8,6.5,2.18,0.0,2.0,0.0,19,1,1,0.0,19.0,0,0,3
2022-01-20,2550.8,86.0,38.6,23.5,30.51,94.0,37.0,62.0,31.9,3343.3,1970.6,6.0,1.26,0.0,3.0,0.0,20,1,1,0.0,20.0,0,0,3
2022-01-21,2041.26,68.0,38.0,23.3,27.66,96.0,41.0,81.5,20.0,3501.4,692.6,15.4,2.18,35.4,4.0,0.0,21,1,1,35.4,21.0,0,0,3
2022-01-22,3189.71,106.0,39.5,23.9,30.5,98.0,34.0,68.5,44.3,3280.6,2004.0,9.5,1.57,0.0,5.0,1.0,22,1,1,0.0,22.0,0,0,3
2022-01-23,3056.12,89.0,39.3,24.7,29.69,96.0,35.0,70.0,34.3,3220.0,1671.35,13.2,1.81,16.6,6.0,1.0,23,1,1,16.6,23.0,0,0,3
2022-01-24,2091.4,79.0,35.6,23.3,28.85,99.0,47.0,76.0,29.3,3508.0,2100.5,10.9,1.98,0.0,0.0,0.0,24,1,1,0.0,24.0,0,0,4
2022-01-25,2152.04,82.0,35.6,22.7,28.73,94.0,46.0,72.0,8.3,3488.7,2248.45,13.9,2.02,0.0,1.0,0.0,25,1,1,0.0,25.0,0,0,4
2022-01-26,1720.63,55.0,35.9,21.9,28.47,99.0,46.0,85.0,18.0,3510.3,1232.35,12.5,1.48,28.6,2.0,0.0,26,1,1,28.6,26.0,0,0,4
2022-01-27,1437.95,48.0,24.5,20.4,23.13,99.0,77.0,95.0,0.4,1138.6,425.6,10.2,1.75,11.8,3.0,0.0,27,1,1,7.0,27.0,0,0,4
2022-01-28,1971.85,62.0,27.0,15.8,21.4,96.0,50.0,73.0,30.4,3708.9,2289.05,10.4,2.54,0.0,4.0,0.0,28,1,1,0.0,28.0,0,0,4
2022-01-29,2480.66,81.0,27.2,15.3,21.29,95.0,43.0,77.0,29.9,3770.6,2295.55,11.6,2.72,0.0,5.0,1.0,29,1,1,0.0,29.0,0,0,4
2022-01-30,3238.5,102.0,29.4,17.3,22.58,92.0,54.0,73.5,26.4,3725.9,1878.2,8.8,2.6,0.0,6.0,1.0,30,1,1,0.0,30.0,0,0,4
2022-01-31,2197.97,71.0,33.7,17.6,25.54,99.0,30.0,74.5,29.0,3793.6,2344.7,6.7,1.42,0.0,0.0,0.0,31,1,1,0.0,31.0,0,0,5
2022-02-01,2808.32,88.0,32.9,19.3,25.63,91.0,41.0,70.0,28.5,3680.4,2367.1,10.5,2.27,0.0,1.0,0.0,32,2,1,0.0,1.0,0,0,5
2022-02-02,1874.31,60.0,35.7,18.5,26.26,99.0,29.0,81.0,23.9,3652.0,2280.65,5.3,1.59,0.0,2.0,0.0,33,2,1,0.0,2.0,0,0,5
2022-02-03,1329.01,41.0,35.7,21.1,26.31,98.0,43.0,76.0,13.1,2861.6,774.1,15.2,2.15,6.6,3.0,0.0,34,2,1,6.6,3.0,0,0,5
2022-02-04,1858.59,65.0,29.9,21.0,24.47,99.0,69.0,91.0,26.8,2375.5,877.35,5.9,1.41,7.0,4.0,0.0,35,2,1,4.6,4.0,0,0,5
2022-02-05,2066.28,67.0,30.0,22.4,25.04,100.0,65.0,93.0,26.3,1880.4,875.1,6.7,1.25,1.8,5.0,1.0,36,2,1,1.8,5.0,0,0,5
2022-02-06,3925.69,112.0,27.4,17.0,22.15,99.0,35.0,79.0,25.7,3493.0,1724.85,7.3,1.4,0.0,6.0,1.0,37,2,1,0.0,6.0,0,0,5
2022-02-07,1149.37,38.0,27.6,12.6,19.8,96.0,41.0,67.5,18.4,3653.4,1818.4,8.6,1.19,0.0,0.0,0.0,38,2,1,0.0,7.0,0,0,6
2022-02-08,1966.46,68.0,28.0,12.6,20.52,99.0,36.0,73.0,22.3,3673.3,2313.85,5.6,1.11,0.0,1.0,0.0,39,2,1,0.0,8.0,0,0,6
2022-02-09,1572.35,55.0,28.9,16.2,22.05,99.0,30.0,75.0,17.9,3752.1,2329.15,6.6,1.88,0.0,2.0,0.0,40,2,1,0.0,9.0,0,0,6
2022-02-10,1737.57,59.0,32.5,16.7,23.9,98.0,34.0,70.5,21.1,3610.5,2224.5,8.1,2.3,0.0,3.0,0.0,41,2,1,0.0,10.0,0,0,6
2022-02-11,1698.11,55.0,35.3,19.1,25.38,99.0,37.0,76.5,15.3,3438.4,1378.25,23.8,2.13,16.2,4.0,0.0,42,2,1,16.2,11.0,0,0,6
2022-02-12,1717.01,56.0,28.2,20.3,23.81,96.0,67.0,82.0,37.2,1932.9,673.55,7.7,1.55,0.2,5.0,1.0,43,2,1,0.2,12.0,0,0,6
2022-02-13,3214.8,98.0,28.3,18.5,22.43,98.0,36.0,91.5,7.6,3528.7,151.65,5.1,1.34,0.2,6.0,1.0,44,2,1,0.0,13.0,0,0,6
2022-02-14,1931.59,63.0,29.6,10.4,19.75,99.0,27.0,69.5,9.7,3657.4,2289.6,5.6,0.88,0.0,0.0,0.0,45,2,1,0.0,14.0,0,0,7
2022-02-15,1989.25,68.0,31.4,12.4,21.81,98.0,29.0,57.0,8.7,3638.5,2257.2,7.5,1.48,0.0,1.0,0.0,46,2,1,0.0,15.0,0,0,7
2022-02-16,1675.52,55.0,33.4,16.0,24.35,98.0,41.0,66.0,9.9,3536.4,2180.2,6.8,1.9,0.0,2.0,0.0,47,2,1,0.0,16.0,0,0,7
2022-02-17,2409.2,81.0,33.3,17.7,24.38,98.0,26.0,73.0,8.4,3559.1,1695.95,6.6,1.78,0.0,3.0,0.0,48,2,1,0.0,17.0,0,0,7
2022-02-18,2039.46,71.0,32.0,18.6,24.66,97.0,34.0,64.0,6.2,3526.0,1958.45,7.6,2.17,0.0,4.0,0.0,49,2,1,0.0,18.0,0,0,7
2022-02-19,2651.85,77.0,32.7,17.3,24.3,99.0,33.0,74.5,6.7,3520.6,2170.45,10.0,2.14,0.0,5.0,1.0,50,2,1,0.0,19.0,0,0,7
2022-02-20,2555.7,72.0,30.8,16.9,22.71,98.0,53.0,76.5,1.9,1792.8,695.85,10.5,1.86,0.6,6.0,1.0,51,2,1,0.6,20.0,0,0,7
2022-02-21,2428.54,71.0,33.2,20.7,25.88,95.0,42.0,76.0,0.6,2732.4,1418.15,12.9,1.74,1.8,0.0,0.0,52,2,1,0.0,21.0,0,0,8
2022-02-22,1251.23,47.0,31.6,20.4,25.33,95.0,49.0,75.0,4.6,2805.1,1250.5,5.1,1.17,0.0,1.0,0.0,53,2,1,0.0,22.0,0,0,8
2022-02-23,1999.35,67.0,31.3,20.6,24.63,99.0,47.0,88.0,3.3,3270.7,1773.75,6.8,1.83,0.0,2.0,0.0,54,2,1,0.0,23.0,0,0,8
